<<<<<<< HEAD
=======
<<<<<<< HEAD
unit,25,1,1,2,5,5,1,2,0,0,4,0,1,0
state,45,1,4,5,8,6,1,3,1,0,7,0,4,1
need,17,0,2,6,3,2,1,0,0,0,2,0,1,0
secur,14,0,1,3,5,3,0,0,0,0,1,0,0,0
wall,14,0,3,4,2,2,0,0,0,0,2,0,0,0
southern,4,0,1,1,0,2,0,0,0,0,0,0,0,0
border,13,0,1,4,2,2,0,0,0,0,2,0,0,0
must,23,1,3,7,1,3,0,0,0,0,2,0,0,5
part,6,1,0,0,0,2,0,0,0,1,0,0,2,0
approv,8,1,0,1,1,3,0,0,1,0,0,0,0,0
safeti,3,0,0,1,0,2,0,0,0,0,0,0,0,0
countri,44,1,4,9,6,3,1,2,0,0,10,0,1,4
today,35,1,3,7,9,1,0,0,0,0,11,0,1,1
great,135,9,2,30,23,2,0,15,3,2,33,0,8,2
honor,22,1,2,4,3,0,0,2,1,0,9,0,0,0
welcom,8,1,0,0,2,0,0,0,0,0,5,0,0,0
prime,3,0,0,0,1,0,0,0,0,0,2,0,0,0
minist,3,0,0,0,1,0,0,0,0,0,2,0,0,0
friend,11,0,0,1,1,2,1,1,0,0,5,0,0,0
alli,2,0,0,0,1,0,0,0,0,0,1,0,0,0
joint,3,0,0,0,2,0,0,0,0,0,1,0,0,0
press,5,1,0,0,2,0,0,0,0,0,1,0,0,0
confer,4,0,0,1,1,0,0,0,0,0,1,0,1,0
want,23,0,3,3,6,2,1,0,1,0,2,0,2,2
thank,49,10,2,6,8,0,0,7,1,0,12,0,1,1
cabinet,3,0,0,2,0,0,0,0,0,0,1,0,0,0
work,38,1,1,10,14,0,1,1,1,0,7,0,0,0
tireless,1,0,0,1,0,0,0,0,0,0,0,0,0,0
behalf,7,1,0,2,1,0,0,1,0,0,2,0,0,0
year,60,4,3,12,13,2,4,2,1,0,9,1,3,5
monument,2,0,0,1,0,0,0,0,0,0,1,0,0,0
achiev,3,0,0,2,1,0,0,0,0,0,0,0,0,0
look,26,1,2,7,9,0,0,0,1,0,3,0,2,0
forward,10,0,0,4,4,0,0,0,0,0,2,0,0,0
ahead,3,1,0,2,0,0,0,0,0,0,0,0,0,0
togeth,18,0,0,7,2,0,0,4,0,0,3,0,1,0
deliv,9,1,0,4,2,0,1,0,0,0,1,0,0,0
result,6,0,0,3,0,0,1,0,0,1,0,0,1,0
make,43,2,0,16,2,1,1,7,2,1,6,0,2,0
singl,2,0,0,0,0,0,0,0,0,0,1,0,0,1
greatest,4,0,0,1,0,0,0,1,0,0,0,0,1,1
witch,4,1,0,1,0,0,0,0,0,0,1,0,0,1
hunt,5,1,1,1,0,0,0,0,0,0,1,0,0,1
histori,13,0,1,4,0,0,1,0,0,0,4,0,0,2
continu,9,0,1,1,2,1,0,2,0,0,1,0,0,1
collus,12,2,2,0,2,1,0,0,1,1,0,0,1,2
everybodi,2,0,0,0,1,0,0,0,0,0,0,0,0,1
includ,7,0,0,2,0,3,0,0,0,0,1,0,0,1
know,16,2,1,0,6,1,0,0,0,0,0,0,1,1
amp,61,3,5,10,17,5,1,0,2,1,8,0,3,3
yet,7,0,0,0,0,0,1,0,0,0,3,0,0,2
goe,3,0,0,1,0,0,0,0,0,0,1,0,0,1
world,16,0,0,1,4,3,1,4,0,0,0,0,0,2
laugh,1,0,0,0,0,0,0,0,0,0,0,0,0,1
stupid,1,0,0,0,0,0,0,0,0,0,0,0,0,1
wit,3,0,1,0,0,0,0,0,0,0,0,0,0,1
republican,29,1,1,4,6,1,1,1,0,1,6,0,1,4
final,17,2,2,5,3,0,0,2,0,0,0,0,1,1
take,13,1,2,2,2,0,0,0,0,0,1,0,3,1
control,5,0,1,0,1,0,0,0,0,0,0,0,0,1
fact,9,0,0,0,3,1,0,0,0,0,0,0,1,2
sneaki,1,0,0,0,0,0,0,0,0,0,0,0,0,1
numer,3,0,0,0,0,0,0,0,0,0,0,0,1,1
occas,1,0,0,0,0,0,0,0,0,0,0,0,0,1
found,2,0,0,1,0,0,0,0,0,0,0,0,0,1
would,39,1,2,4,8,1,2,1,2,1,7,1,2,4
releas,7,3,0,0,2,0,0,0,0,0,0,0,0,1
testimoni,1,0,0,0,0,0,0,0,0,0,0,0,0,1
underhand,1,0,0,0,0,0,0,0,0,0,0,0,0,1
